Code,Description,Device,Status
101BV,Belvidere RM 118,accs-101bv-118-1,up
101BV,Belvidere RM 175,accs-101bv-175-1,up
101BV,Belvidere RM 218,accs-101bv-218-1,up
101BV,Belvidere RM 275,accs-101bv-275-1,up
101BV,Belvidere RM 318,accs-101bv-318-1,up
101BV,Belvidere RM 375,accs-101bv-375-1,up
101BV,Belvidere RM 418,accs-101bv-418-1,up
101BV,Belvidere RM 475,accs-101bv-475-1,up
109HM,Asian Center RM 001,accs-109hm-001-1,up
122SS,St. Stephens St. RM 010,accs-122ss-010-1,up
142HM,142-148 Hemenway RM 000,accs-142hm-000-1,up
157HE,Loftman Hall RM 021,accs-157he-021-1,up
177HU,177 Huntington RM 1015,accs-177hu-1015-1,up
177HU,177 Huntington RM 1015,accs-177hu-1015-2,up
177HU,177 Huntington RM 1213,accs-177hu-1213-1,up
177HU,177 Huntington RM 211,accs-177hu-211-1,up
177HU,177 Huntington RM 211,accs-177hu-2214-1,up
177HU,177 Huntington RM 307,accs-177hu-307av-1,up
177HU,177 Huntington RM 411,accs-177hu-411-1,up
177HU,177 Huntington RM 611,accs-177hu-611-1,up
177HU,177 Huntington RM 813,accs-177hu-813-1,up
20RI,Richards Hall RM020,accs-20RI-EIP-VLAN-Test,down
20RI,Richards Hall RM020,accs-20RI-test-1,up
216MAV,216 Mass Ave RM 100TR,accs-216mav-100tr-1,up
216MAV,216 Mass Ave RM213b,accs-216mav-213b-1,up
216MAV,216 Mass Ave RM228c,accs-216mav-228c-1,up
216MAV,216 Mass Ave RM307C,accs-216mav-307b-1,up
216MAV,216 Mass Ave RM338C,accs-216mav-338c-1,up
216MAV,216 Mass Ave RM307C,accs-216mav-p4327-1,up
236HU,236 Huntington RM 529,accs-236hu-529-1,up
271HU,271 Huntington Ave RM 236,accs-271hu-236-1,up
300MAV,300 Mass Ave,accs-300mav-000-1,up
319HU,319 Huntington RM 000,accs-319hu-000-1,up
337HU,337 Huntington RM 000,accs-337hu-000-1,up
337HU,337 Huntington RM 000,accs-337hu-000-2,up
407HU,407 Huntington,accs-407hu-1,up
768CP,768 Columbus Ave. RM 001,accs-768cp-001-1,up
780CP,780 Columbus Place RM 780,accs-780cp-1,up
BD,Broad St RM 266,accs-bd-266-1,up
BD,Broad St RM 266,accs-bd-266-2,up
BK,Behrakis RM 017a,accs-bk-017a-1,up
BK,Behrakis RM 053,accs-bk-053-1,up
BK,Behrakis RM 142,accs-bk-142-1,up
BK,Behrakis RM 242,accs-bk-242-1,up
BK,Behrakis RM 342,accs-bk-342-1,up
BK,Behrakis RM 442,accs-bk-442-1,up
BK,Behrakis RM 542,accs-bk-542-1,up
BK,Behrakis RM 642,accs-bk-642-1,up
BK,Behrakis RM 742,accs-bk-742-1,up
BL,Burlington-147 RM 105,accs-bl-147-105-1,up
BL,Burlington-147 RM 205,accs-bl-147-205-1,up
BL,Burlington-147 RM 308,accs-bl-147-308-1,up
BL,Burlington-Elliot RM 123,accs-bl-elliot-123-1,up
BL,Burlington-Elliot RM 222,accs-bl-elliot-222-1,up
BL,Burlington Kostas RM 292,accs-bl-kostas-292-1,up
BL,Burlington-Library RM 007,accs-bl-library-007-1,up
BL,Burlington-VCC RM 130b,accs-bl-vcc-130b-1,up
BL,Burlington-VCC RM 130b,accs-bl-vcc-130b-2,up
BU,Burstein Hall RM 106,accs-bu-000-1,up
