Title,Latitude,Longitude,Devices,Etc
140 The Fenway,42.340598,-71.0917454,"accs-tf-133-1,accs-tf-173a-1,accs-tf-265b-1,accs-tf-r312-1,accs-tf-r410-1,accs-tf-x411-1",
142-148 Hemenway,42.3420553,-71.0902213,accs-142hm-000-1,
177 Huntington,42.3449303,-71.0827869,"accs-177hu-1015-2,accs-177hu-1015-1,accs-177hu-1213-1,accs-177hu-211-1,accs-177hu-2214-1,accs-177hu-307av-1,accs-177hu-411-1,accs-177hu-611-1,accs-177hu-813-1",
216 Mass Ave,42.3450251,-71.0863861,"accs-216mav-100tr-1,accs-216mav-213b-1,accs-216mav-228c-1,accs-216mav-307b-1,accs-216mav-p4327-1,accs-216mav-338c-1",
236 Huntington,42.3428978,-71.0842431,accs-236hu-529-1,
271 Huntington Ave,42.3420989,-71.086278,accs-271hu-236-1,
300 Mass Ave,42.3432417,-71.0852932,accs-300mav-000-1,
319 Huntington,42.3410167,-71.0879108,"accs-319hu-000-1,accs-337hu-000-1,accs-337hu-000-2",
407 Huntington,42.339626,-71.0914695,accs-407hu-1,
768 Columbus Ave.,42.3371621,-71.0862033,accs-768cp-001-1,
780 Columbus Place,42.336806,-71.0868281,accs-780cp-1,
Asian Center,42.3431705,-71.0903453,accs-109hm-001-1,
Behrakis,42.337,-71.0916533,"accs-bk-017a-1,accs-bk-053-1,accs-bk-142-1,accs-bk-242-1,accs-bk-342-1,accs-bk-442-1,accs-bk-542-1,accs-bk-642-1,accs-bk-742-1",
Belvidere,42.3453217,-71.0838034,"accs-101bv-118-1,accs-101bv-175-1,accs-101bv-218-1,accs-101bv-275-1,accs-101bv-318-1,accs-101bv-375-1,accs-101bv-418-1,accs-101bv-475-1",
Broad St,42.3574581,-71.0531828,"accs-bd-266-1,accs-bd-266-2",
Burlington,42.4799003,-71.1886072,"accs-bl-kostas-292-1,accs-bl-147-105-1,accs-bl-147-205-1,accs-bl-147-308-1,accs-bl-elliot-123-1,accs-bl-elliot-222-1,accs-bl-library-007-1,accs-bl-vcc-130b-1,accs-bl-vcc-130b-2",off-campus
Burstein Hall,42.3383121,-71.0930429,accs-bu-000-1,
Cabot Center,42.3393419,-71.0896831,"accs-cb-cage-1,accs-cb-cage-2,accs-cb-166-1,accs-cb-207-1",
Cahners Hall,42.3414731,-71.091511,accs-ca-022-1,
Cargill Hall,42.33893295,-71.0916285,accs-cg-085-1,
Charlotte-NC,35.227695,-80.8429505,"accs-clt-1111av-1,accs-clt-1135-1",off-campus
Churchill Hall,42.3387735,-71.0889235,"accs-ch-327a-2,accs-ch-327a-1",
Columbus Garage,42.3378135,-71.0862,accs-cp-garage-temp-1,
Columbus Place,42.3376775,-71.0852898,"accs-cp-349-1,accs-cp-449-1,accs-cp-549-1,accs-cp-600-1,accs-cp-84-1",
Coventry,42.336863,-71.0859364,"accs-cv-214-1,accs-cv-514-1",
Cullinane Hall,42.3400821,-71.0865077,accs-cn-100a-1,
Curry Student Center,42.339145,-71.0875692,"accs-csc-anc-1,accs-csc-238-1,accs-csc-438-1",
Cushing Hall,42.341663,-71.0914051,accs-cu-014-1,
Dana Center Hall,42.3380798,-71.0893456,"accs-da-134a-1,accs-da-134a-2,accs-da-229-1,accs-da-229-2,accs-da-434-2,accs-da-434-1,accs-da-242-1",
