Device,Name
accs-tf-133-1,140 The Fenway RM 133
accs-tf-173a-1,140 The Fenway RM 173A
accs-tf-265b-1,140 The Fenway RM 265B
accs-tf-r312-1,140 The Fenway RM R312
accs-tf-r410-1,140 The Fenway RM r410
accs-tf-x411-1,140 The Fenway RM x411
accs-142hm-000-1,142-148 Hemenway RM 000
accs-177hu-1015-2,177 Huntington RM 1015
accs-177hu-1015-1,177 Huntington RM 1015
accs-177hu-1213-1,177 Huntington RM 1213
accs-177hu-211-1,177 Huntington RM 211
accs-177hu-2214-1,177 Huntington RM 211
accs-177hu-307av-1,177 Huntington RM 307
accs-177hu-411-1,177 Huntington RM 411
accs-177hu-611-1,177 Huntington RM 611
accs-177hu-813-1,177 Huntington RM 813
accs-216mav-100tr-1,216 Mass Ave RM 100TR
accs-216mav-213b-1,216 Mass Ave RM213b
accs-216mav-228c-1,216 Mass Ave RM228c
accs-216mav-307b-1,216 Mass Ave RM307C
accs-216mav-p4327-1,216 Mass Ave RM307C
accs-216mav-338c-1,216 Mass Ave RM338C
accs-236hu-529-1,236 Huntington RM 529
accs-271hu-236-1,271 Huntington Ave RM 236
accs-300mav-000-1,300 Mass Ave
accs-319hu-000-1,319 Huntington RM 000
accs-337hu-000-1,337 Huntington RM 000
accs-337hu-000-2,337 Huntington RM 000
accs-407hu-1,407 Huntington
accs-768cp-001-1,768 Columbus Ave. RM 001
accs-780cp-1,780 Columbus Place RM 780
accs-109hm-001-1,Asian Center RM 001
accs-bk-017a-1,Behrakis RM 017a
accs-bk-053-1,Behrakis RM 053
accs-bk-142-1,Behrakis RM 142
accs-bk-242-1,Behrakis RM 242
accs-bk-342-1,Behrakis RM 342
accs-bk-442-1,Behrakis RM 442
accs-bk-542-1,Behrakis RM 542
accs-bk-642-1,Behrakis RM 642
accs-bk-742-1,Behrakis RM 742
accs-101bv-118-1,Belvidere RM 118
accs-101bv-175-1,Belvidere RM 175
accs-101bv-218-1,Belvidere RM 218
accs-101bv-275-1,Belvidere RM 275
accs-101bv-318-1,Belvidere RM 318
accs-101bv-375-1,Belvidere RM 375
accs-101bv-418-1,Belvidere RM 418
accs-101bv-475-1,Belvidere RM 475
accs-bd-266-1,Broad St RM 266
accs-bd-266-2,Broad St RM 266
accs-bl-kostas-292-1,Burlington Kostas RM 292
accs-bl-147-105-1,Burlington-147 RM 105
accs-bl-147-205-1,Burlington-147 RM 205
accs-bl-147-308-1,Burlington-147 RM 308
accs-bl-elliot-123-1,Burlington-Elliot RM 123
accs-bl-elliot-222-1,Burlington-Elliot RM 222
accs-bl-library-007-1,Burlington-Library RM 007
accs-bl-vcc-130b-1,Burlington-VCC RM 130b
accs-bl-vcc-130b-2,Burlington-VCC RM 130b
accs-bu-000-1,Burstein Hall RM 106
accs-cb-cage-1,Cabot Center - Cage Area
accs-cb-cage-2,Cabot Center Cage
accs-cb-166-1,Cabot Center RM 166
accs-cb-207-1,Cabot Center RM 207
accs-ca-022-1,Cahners Hall RM 022
accs-cg-085-1,Cargill Hall RM 085
accs-clt-1111av-1,Charlotte-NC RM 1111
accs-clt-1135-1,Charlotte-NC RM 1135
accs-ch-327a-2,Churchill Hall RM 327a
accs-ch-327a-1,Churchill Hall RM 327a
accs-cp-garage-temp-1,Columbus Garage
accs-cp-349-1,Columbus Place RM 349
accs-cp-449-1,Columbus Place RM 449
accs-cp-549-1,Columbus Place RM 549
accs-cp-600-1,Columbus Place RM 600
accs-cp-84-1,Columbus Place RM 84
accs-cv-214-1,Coventry RM 214
accs-cv-514-1,Coventry RM 514
accs-cn-100a-1,Cullinane Hall RM 100a
accs-csc-anc-1,Curry Student Center RM 001
accs-csc-238-1,Curry Student Center RM 240
accs-csc-438-1,Curry Student Center RM 440
accs-cu-014-1,Cushing Hall RM 014
accs-da-134a-1,Dana Center Hall RM 134a
accs-da-134a-2,Dana Center Hall RM 134a
accs-da-229-1,Dana Center Hall RM 229
accs-da-229-2,Dana Center Hall RM 229
